"category","product_id","product_name","total_profit","rn"
"Blouse","J0217-BL-M","J0217","24288.9","1"
"Blouse","J0217-BL-L","J0217","20908.33","2"
"Blouse","J0217-BL-S","J0217","20670.989999999998","3"
"Bottom","BTM038-PP-S","BTM038","2989.9","1"
"Bottom","BTM039-PP-XXXL","BTM039","2862.86","2"
"Bottom","BTM039-PP-M","BTM039","2828.58","3"
"Dupatta","DPT041","DPT041","305.0","2"
"Dupatta","DPT032","DPT032","305.0","3"
"Dupatta","DPT052","DPT052","305.0","1"
"Ethnic Dress","J0006-SET-M","J0006","73072.95000000001","1"
